timestamp,setup_id,ea_version,symbol,timeframe,direction,bid,ask,spread_points,bar_time,breakout_level,lookback_bars,mindset,filter_decision,filter_reason,did_enter
2025.07.01 10:57:50,XAUUSDg_PERIOD_M5_20250701_1055_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3348.95,3349.49,55,2025.07.01 10:55,3349.31,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.01 11:04:54,XAUUSDg_PERIOD_M5_20250701_1100_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3351.53,3352.03,37,2025.07.01 11:00,3349.53,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.01 12:20:11,XAUUSDg_PERIOD_M5_20250701_1220_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3353.64,3354.25,64,2025.07.01 12:20,3352.82,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.01 12:21:35,XAUUSDg_PERIOD_M5_20250701_1220_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3356.75,3357.35,59,2025.07.01 12:20,3352.82,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.03 12:43:41,XAUUSDg_PERIOD_M5_20250703_1240_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,3313.95,3314.78,77,2025.07.03 12:40,3315.09,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.03 12:44:14,XAUUSDg_PERIOD_M5_20250703_1240_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,3311.78,3312.78,65,2025.07.03 12:40,3315.09,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.07 01:15:28,XAUUSDg_PERIOD_M5_20250707_0115_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,3309.45,3310.13,71,2025.07.07 01:15,3310.43,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.07 01:21:09,XAUUSDg_PERIOD_M5_20250707_0120_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,3307.07,3307.80,75,2025.07.07 01:20,3308.76,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.07 07:46:03,XAUUSDg_PERIOD_M5_20250707_0745_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,3304.32,3304.76,45,2025.07.07 07:45,3305.01,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.07 07:51:25,XAUUSDg_PERIOD_M5_20250707_0750_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,3302.45,3302.91,46,2025.07.07 07:50,3303.20,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.07 07:57:38,XAUUSDg_PERIOD_M5_20250707_0755_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,3300.95,3301.49,48,2025.07.07 07:55,3301.70,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.07 10:42:03,XAUUSDg_PERIOD_M5_20250707_1040_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,3299.03,3299.64,67,2025.07.07 10:40,3300.43,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.07 10:45:40,XAUUSDg_PERIOD_M5_20250707_1045_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,3296.70,3297.24,65,2025.07.07 10:45,3297.20,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.07 17:38:57,XAUUSDg_PERIOD_M5_20250707_1735_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3334.59,3335.10,51,2025.07.07 17:35,3334.91,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.07 19:07:11,XAUUSDg_PERIOD_M5_20250707_1905_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3336.25,3336.78,54,2025.07.07 19:05,3336.30,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.07 19:26:34,XAUUSDg_PERIOD_M5_20250707_1925_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3338.01,3338.41,39,2025.07.07 19:25,3338.16,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.07 19:36:00,XAUUSDg_PERIOD_M5_20250707_1935_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3339.34,3339.89,55,2025.07.07 19:35,3339.76,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
