date,time,dir,rsi,close,sl_pts,tp_pts,risk_usd,reward_usd,pnl,result,equity,daily_pnl
2025-09-19,14:00,SHORT,72.6,3678.98,3.11,2.59,25.0,20.83,-25.0,LOSS,50187.5,-25.0
2025-09-19,14:24,SHORT,75.5,3682.54,2.08,1.73,25.0,20.83,20.83,WIN,50208.33,-4.17
2025-09-23,14:51,LONG,27.4,3771.88,4.1,3.42,25.0,20.83,-25.0,LOSS,50183.33,-25.0
2025-09-23,14:55,LONG,18.8,3765.84,5.95,4.96,25.0,20.83,-25.0,LOSS,50158.33,-50.0
2025-09-23,14:59,LONG,11.8,3756.6,8.38,6.98,25.0,20.83,20.83,WIN,50179.17,-29.17
2025-09-24,14:10,LONG,29.7,3727.86,3.75,3.12,25.0,20.83,20.83,WIN,50200.0,20.83
2025-09-24,15:00,LONG,28.0,3721.86,3.77,3.14,25.0,20.83,20.83,WIN,50220.83,41.67
2025-09-25,14:28,SHORT,73.5,3749.46,3.95,3.29,25.0,20.83,-25.0,LOSS,50195.83,-25.0
2025-09-25,14:37,SHORT,77.6,3753.76,4.05,3.38,25.0,20.83,-25.0,LOSS,50170.83,-50.0
2025-10-01,14:00,LONG,27.4,3857.96,4.51,3.76,25.0,20.83,20.83,WIN,50191.67,20.83
2025-10-02,14:50,SHORT,72.9,3850.75,1.93,1.61,25.0,20.83,-25.0,LOSS,50166.67,-25.0
2025-10-03,14:36,SHORT,70.7,3888.12,2.75,2.29,25.0,20.83,20.83,WIN,50187.5,20.83
2025-10-10,14:22,SHORT,73.1,4004.36,6.45,5.37,25.0,20.83,20.83,WIN,50208.33,20.83
2025-10-16,14:16,LONG,29.1,4277.56,10.43,8.69,25.0,20.83,20.83,WIN,50229.17,20.83
2025-10-17,14:10,SHORT,70.3,4239.73,10.74,8.95,25.0,20.83,20.83,WIN,50250.0,20.83
2025-10-20,14:29,SHORT,77.4,4357.35,5.17,4.31,25.0,20.83,-25.0,LOSS,50225.0,-25.0
2025-10-20,14:39,SHORT,70.6,4361.72,7.4,6.17,25.0,20.83,20.83,WIN,50245.83,-4.17
2025-10-30,14:06,SHORT,70.6,4024.48,6.66,5.55,25.0,20.83,20.83,WIN,50266.67,20.83
2025-10-31,14:19,LONG,28.2,3991.78,6.07,5.06,25.0,20.83,20.83,WIN,50287.5,20.83
2025-11-03,14:03,LONG,28.7,3996.08,5.83,4.86,25.0,20.83,20.83,WIN,50308.33,20.83
2025-11-06,14:13,SHORT,70.1,3994.75,4.31,3.6,25.0,20.83,20.83,WIN,50329.17,20.83
2025-11-11,14:46,SHORT,72.5,4123.62,3.28,2.74,25.0,20.83,-25.0,LOSS,50304.17,-25.0
2025-11-17,14:03,LONG,29.2,4058.8,6.05,5.04,25.0,20.83,20.83,WIN,50325.0,20.83
2025-11-17,14:32,LONG,23.3,4043.64,8.19,6.83,25.0,20.83,-25.0,LOSS,50300.0,-4.17
2025-11-17,14:36,LONG,23.6,4039.04,11.72,9.77,25.0,20.83,-25.0,LOSS,50275.0,-29.17
2025-11-17,14:42,LONG,16.3,4020.38,16.59,13.83,25.0,20.83,20.83,WIN,50295.83,-8.33
2025-11-20,14:20,SHORT,72.2,4076.94,7.5,6.25,25.0,20.83,-25.0,LOSS,50270.83,-25.0
2025-11-24,14:00,SHORT,76.6,4122.1,7.45,6.21,25.0,20.83,20.83,WIN,50291.67,20.83
2025-12-04,14:07,LONG,28.1,4203.56,5.08,4.24,25.0,20.83,20.83,WIN,50312.5,20.83
2025-12-10,14:00,SHORT,77.3,4210.45,7.6,6.33,25.0,20.83,20.83,WIN,50333.33,20.83
2025-12-10,14:08,SHORT,70.0,4214.96,16.24,13.53,25.0,20.83,20.83,WIN,50354.17,41.67
2025-12-11,14:00,LONG,23.2,4264.48,6.39,5.32,25.0,20.83,20.83,WIN,50375.0,20.83
2025-12-15,14:03,SHORT,73.0,4316.77,4.58,3.82,25.0,20.83,20.83,WIN,50395.83,20.83
2025-12-23,14:00,SHORT,74.9,4485.68,4.32,3.6,25.0,20.83,-25.0,LOSS,50370.83,-25.0
2025-12-23,14:02,SHORT,80.3,4489.84,5.46,4.55,25.0,20.83,-25.0,LOSS,50345.83,-50.0
2025-12-30,14:47,LONG,27.3,4353.08,5.44,4.54,25.0,20.83,-25.0,LOSS,50320.83,-25.0
2025-12-30,14:50,LONG,24.6,4348.96,7.42,6.19,25.0,20.83,-25.0,LOSS,50295.83,-50.0
2025-12-30,14:53,LONG,23.2,4344.35,9.37,7.81,25.0,20.83,-25.0,LOSS,50270.83,-75.0
2026-01-06,14:17,LONG,29.5,4478.66,5.74,4.78,25.0,20.83,20.83,WIN,50291.67,20.83
2026-01-14,14:01,SHORT,71.0,4639.74,5.78,4.82,25.0,20.83,20.83,WIN,50312.5,20.83
2026-01-19,14:21,LONG,29.3,4668.9,3.3,2.75,25.0,20.83,20.83,WIN,50333.33,20.83
